Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,xG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Ander Barrenetxea,es ESP,FW-MF,Real Sociedad,es La Liga,17,2001,4.09,1.0,15.0,5.0,0.9,33.3,3.05,1.02,0.07,0.2,17.05
Ander Barrenetxea,es ESP,MF-FW,Real Sociedad,es La Liga,18,2001,14.05,3.0,23.0,7.0,1.09,30.04,1.58,0.48,0.13,0.43,19.04
Ander Barrenetxea,es ESP,FW-MF,Real Sociedad,es La Liga,19,2001,6.01,1.0,8.0,2.0,0.5,25.0,1.32,0.33,0.13,0.5,15.02
Ander Barrenetxea,es ESP,FW-DF,Real Sociedad,es La Liga,20,2001,9.08,3.0,18.0,12.0,3.0,66.7,1.85,1.23,0.17,0.25,14.09
Ander Barrenetxea,es ESP,FW-MF,Real Sociedad,es La Liga,21,2001,15.09,4.0,37.0,12.0,3.05,32.4,2.33,0.76,0.11,0.33,17.07
Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,22.0,1997.0,10.04,0.0,3.0,0.0,0.1,0.0,0.29,0.0,0.0,0.0,29.06
Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,23.0,1997.0,23.01,1.0,9.0,2.0,0.4,22.02,0.39,0.09,0.11,0.5,22.01
Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,24.0,1997.0,9.06,0.0,2.0,0.0,0.1,0.0,0.21,0.0,0.0,0.0,23.0
Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,25.0,1997.0,2.05,0.0,1.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,23.07
Ander Guevara,es ESP,MF,Alavés,es La Liga,26.0,1997.0,32.6,1.0,16.0,2.0,0.7,12.05,0.49,0.06,0.06,0.5,23.02
Ander Herrera,es ESP,MF-DF,Paris S-G,fr Ligue 1,29,1989,6.01,1.0,6.0,2.0,0.3,33.3,0.99,0.33,0.17,0.5,20.05
Ander Herrera,es ESP,MF,Paris S-G,fr Ligue 1,30.0,1989.0,20.06,1.0,21.0,4.0,1.04,19.0,1.02,0.19,0.05,0.25,19.02
Ander Herrera,es ESP,MF,Paris S-G,fr Ligue 1,31.0,1989.0,12.01,3.0,14.0,3.0,0.8,21.04,1.15,0.25,0.21,1.0,22.03
Ander Herrera,es ESP,MF,Athletic Club,es La Liga,32.0,1989.0,7.07,0.0,10.0,1.0,0.5,10.0,1.29,0.13,0.0,0.0,20.09
Ander Herrera,es ESP,MF,Athletic Club,es La Liga,33.0,1989.0,11.04,0.0,14.0,2.0,0.7,14.03,1.22,0.17,0.0,0.0,21.02
Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,22.0,1996.0,7.09,0.0,1.0,1.0,0.0,100.0,0.13,0.13,0.0,0.0,30.2
Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,23.0,1996.0,26.05,0.0,9.0,2.0,0.7,22.02,0.34,0.08,0.0,0.0,20.0
Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,24.0,1996.0,25.04,0.0,11.0,0.0,0.5,0.0,0.43,0.0,0.0,0.0,19.06
Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,25.0,1996.0,19.0,0.0,14.0,1.0,0.6,7.01,0.74,0.05,0.0,0.0,21.07
Andoni Gorosabel,es ESP,DF,Alavés,es La Liga,26.0,1996.0,31.07,1.0,15.0,6.0,0.7,40.0,0.47,0.19,0.07,0.17,23.04
Andre-Frank Zambo Anguissa,cm CMR,MF,Villarreal,es La Liga,23.0,1995.0,28.07,2.0,30.0,8.0,2.08,26.07,1.05,0.28,0.07,0.25,20.01
Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,eng Premier League,24.0,1995.0,28.07,0.0,34.0,8.0,1.06,23.05,1.18,0.28,0.0,0.0,21.06
Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,it Serie A,25.0,1995.0,21.04,0.0,20.0,3.0,1.01,15.0,0.93,0.14,0.0,0.0,21.01
Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,it Serie A,26.0,1995.0,33.9,3.0,50.0,15.0,4.04,30.0,1.48,0.44,0.06,0.2,18.01
Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,it Serie A,27.0,1995.0,31.0,0.0,33.0,6.0,3.04,18.02,1.07,0.19,0.0,0.0,16.06
Andrea Belotti,it ITA,FW,Torino,it Serie A,25.0,1993.0,33.4,16.0,96.0,33.0,16.07,34.4,2.87,0.99,0.09,0.27,17.02
Andrea Belotti,it ITA,FW,Torino,it Serie A,26.0,1993.0,32.1,13.0,102.0,35.0,13.07,34.3,3.18,1.09,0.09,0.26,17.07
Andrea Belotti,it ITA,FW,Torino,it Serie A,27.0,1993.0,15.02,8.0,55.0,17.0,7.09,30.09,3.61,1.12,0.09,0.29,15.05
Andrea Belotti,it ITA,FW,Roma,it Serie A,28.0,1993.0,12.07,0.0,19.0,9.0,3.05,47.4,1.49,0.71,0.0,0.0,12.07
Andrea Belotti,it ITA,FW,Roma,it Serie A,29.0,1993.0,17.1,6.0,48.0,17.0,5.11,40.16,2.56,0.96,0.15,0.36,13.09
Andrea Carboni,it ITA,DF,Cagliari,it Serie A,18.0,2001.0,4.01,0.0,1.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,28.0
Andrea Carboni,it ITA,DF,Cagliari,it Serie A,19.0,2001.0,12.01,0.0,5.0,0.0,0.4,0.0,0.41,0.0,0.0,0.0,11.04
Andrea Carboni,it ITA,DF,Cagliari,it Serie A,20.0,2001.0,24.06,0.0,10.0,1.0,0.7,10.0,0.41,0.04,0.0,0.0,13.01
Andrea Carboni,it ITA,DF,Monza,it Serie A,21.0,2001.0,1.09,0.0,1.0,1.0,0.1,100.0,0.54,0.54,0.0,0.0,10.08
Andrea Carboni,it ITA,DF,Monza,it Serie A,22.0,2001.0,16.05,1.0,18.0,4.0,1.02,22.02,1.09,0.24,0.06,0.25,15.04
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,32.0,1987.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,33.0,1987.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34.0,1987.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,35.0,1987.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36.0,1987.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Petagna,it ITA,FW,SPAL,it Serie A,24.0,1995.0,33.7,12.0,103.0,26.0,13.04,25.02,3.06,0.77,0.07,0.27,18.07
Andrea Petagna,it ITA,FW,Napoli,it Serie A,25.0,1995.0,10.07,4.0,24.0,10.0,4.01,41.7,2.24,0.93,0.17,0.4,11.02
Andrea Petagna,it ITA,FW,Napoli,it Serie A,26.0,1995.0,6.05,3.0,13.0,6.0,1.06,46.2,2.0,0.92,0.23,0.5,13.07
Andrea Petagna,it ITA,FW,Monza,it Serie A,27.0,1995.0,18.05,4.0,35.0,12.0,5.07,34.3,1.89,0.65,0.09,0.25,13.02
Andrea Petagna,it ITA,FW,Cagliari,it Serie A,28.0,1995.0,11.01,1.0,20.0,8.0,1.06,40.0,1.81,0.72,0.05,0.13,13.07
Andrea Pinamonti,it ITA,FW,Genoa,it Serie A,20.0,1999.0,24.08,5.0,49.0,14.0,6.0,28.06,1.97,0.56,0.08,0.29,16.07
